Rank,Name,Year,Publisher,Global_Sales_Millons
92,Super Mario Galaxy 2,2010,Nintendo,7.69
95,The Legend of Zelda: Ocarina of Time,1998,Nintendo,7.6
97,Super Mario Bros. 2,1988,Nintendo,7.46
98,Super Smash Bros. for Wii U and 3DS,2014,Nintendo,7.45
101,The Legend of Zelda: Twilight Princess,2006,Nintendo,7.31
108,Super Smash Bros. Melee,2001,Nintendo,7.07
109,Mario Kart 8,2014,Nintendo,6.96
111,Mario Kart: Double Dash!!,2003,Nintendo,6.95
119,Gears of War 2,2008,Microsoft Game Studios,6.76
123,Big Brain Academy,2005,Nintendo,6.67
126,Donkey Kong Country Returns,2010,Nintendo,6.59
128,The Legend of Zelda,1986,Nintendo,6.51
130,Halo: Combat Evolved,2001,Microsoft Game Studios,6.43
131,Pokémon Emerald Version,2004,Nintendo,6.41
133,Pokémon Crystal Version,2000,Nintendo,6.39
134,Halo 3: ODST,2009,Microsoft Game Studios,6.36
136,Super Mario Sunshine,2002,Nintendo,6.31
140,Kinect Sports,2010,Microsoft Game Studios,6.24
141,Gears of War 3,2011,Microsoft Game Studios,6.24
142,Gears of War,2006,Microsoft Game Studios,6.11
150,Dragon Quest IX: Sentinels of the Starry Skies,2009,Nintendo,5.84
156,Tetris,1988,Nintendo,5.58
158,Super Smash Bros.,1999,Nintendo,5.55
161,Forza Motorsport 3,2009,Microsoft Game Studios,5.51
163,Super Mario Advance,2001,Nintendo,5.49
164,Mario Kart: Super Circuit,2001,Nintendo,5.47
165,Super Mario World,2001,Nintendo,5.46
166,Pokemon Stadium,1999,Nintendo,5.45
171,Dr. Mario,1989,Nintendo,5.34
172,Pokemon Pinball,1999,Nintendo,5.31
176,Donkey Kong 64,1999,Nintendo,5.27
178,Professor Layton and the Curious Village,2007,Nintendo,5.26
183,Super Mario Bros. 3,2003,Nintendo,5.2
184,New Super Mario Bros. U,2012,Nintendo,5.19
185,Super Mario Land 3: Wario Land,1994,Nintendo,5.19
187,The Legend of Zelda: Phantom Hourglass,2007,Nintendo,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,1995,Nintendo,5.15
189,Tomodachi Life,2013,Nintendo,5.15
192,Kirby's Dream Land,1992,Nintendo,5.13
193,Fable III,2010,Microsoft Game Studios,5.13
195,Microsoft Flight Simulator,1996,Microsoft Game Studios,5.12
201,Super Mario Bros.,1999,Nintendo,5.07
204,Super Smash Bros. for Wii U and 3DS,2014,Nintendo,5.02
207,Link's Crossbow Training,2007,Nintendo,5
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Nintendo,4.96
214,Diddy Kong Racing,1997,Nintendo,4.88
216,Dr. Mario,1990,Nintendo,4.85
227,Animal Crossing: City Folk,2008,Nintendo,4.68
229,Forza Motorsport 4,2011,Microsoft Game Studios,4.64
232,The Legend of Zelda: A Link to the Past,1991,Nintendo,4.61
233,The Legend of Zelda: The Wind Waker,2002,Nintendo,4.6
235,Luigi's Mansion: Dark Moon,2013,Nintendo,4.58
236,Splatoon,2015,Nintendo,4.57
247,Nintendo Land,2012,Nintendo,4.44
252,Zelda II: The Adventure of Link,1987,Nintendo,4.38
260,Fable II,2008,Microsoft Game Studios,4.31
261,Halo 5: Guardians,2015,Microsoft Game Studios,4.26
262,Super Mario 3D World,2013,Nintendo,4.25
269,The Legend of Zelda: Ocarina of Time,2011,Nintendo,4.21
278,Excitebike,1984,Nintendo,4.16
283,Super Mario World 2: Yoshi's Island,1995,Nintendo,4.12
285,The Legend of Zelda: Skyward Sword,2011,Nintendo,4.1
292,Forza Motorsport 2,2007,Microsoft Game Studios,4.06
297,Star Fox 64,1997,Nintendo,4.03
299,Golf,1984,Nintendo,4.01
301,Professor Layton and the Diabolical Box,2007,Nintendo,4
306,Donkey Kong Land,1994,Nintendo,3.91
309,Monster Hunter 4 Ultimate,2014,Nintendo,3.89
317,Flash Focus: Vision Training in Minutes a Day,2007,Nintendo,3.84
319,The Legend of Zelda: Link's Awakening,1992,Nintendo,3.83
320,Mario & Luigi: Bowser's Inside Story,2009,Nintendo,3.83
321,Big Brain Academy: Wii Degree,2007,Nintendo,3.82
322,Nintendogs + cats,2011,Nintendo,3.81
330,Super Paper Mario,2007,Nintendo,3.76
336,Pokémon Trading Card Game,1998,Nintendo,3.7
339,Friend Collection,2009,Nintendo,3.67
342,Banjo-Kazooie,1998,Nintendo,3.65
347,Pokemon Snap,1999,Nintendo,3.63
357,Luigi's Mansion,2001,Nintendo,3.6
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Nintendo,3.51
375,Kung Fu,1985,Nintendo,3.5
377,Clubhouse Games,2006,Nintendo,3.5
392,F-1 Race,1990,Nintendo,3.41
397,The Legend of Zelda: Spirit Tracks,2009,Nintendo,3.38
399,The Legend of Zelda: Majora's Mask,2000,Nintendo,3.36
400,Professor Layton and the Unwound Future,2008,Nintendo,3.36
403,English Training: Have Fun Improving Your Skills!,2006,Nintendo,3.33
406,Mario Party 9,2012,Nintendo,3.32
413,Wii Music,2008,Nintendo,3.27
420,Yokai Watch 2 Ganso/Honke,2014,Nintendo,3.22
422,Baseball,1983,Nintendo,3.2
423,Killer Instinct,1995,Nintendo,3.2
430,Super Mario Maker,2015,Nintendo,3.18
433,Rhythm Heaven,2008,Nintendo,3.17
436,Animal Crossing,2001,Nintendo,3.15
440,Halo: The Master Chief Collection,2014,Microsoft Game Studios,3.15
444,Star Wars Episode I Racer,1999,Nintendo,3.12
445,Personal Trainer: Cooking,2006,Nintendo,3.12
455,The Legend of Zelda: A Link Between Worlds,2013,Nintendo,3.07
456,Donkey Kong,1994,Nintendo,3.07
466,Mike Tyson's Punch-Out!!,1987,Nintendo,3.02
468,Gears of War: Ultimate Edition,2015,Microsoft Game Studios,3
473,Star Fox,1993,Nintendo,2.99
477,Animal Crossing: Happy Home Designer,2015,Nintendo,2.98
482,Kirby Super Star Ultra,2008,Nintendo,2.96
485,Wave Race 64,1996,Nintendo,2.94
490,Mass Effect,2007,Microsoft Game Studios,2.93
491,WarioWare: Smooth Moves,2006,Nintendo,2.92
493,Super Mario World 2: Yoshi's Island,2002,Nintendo,2.91
510,F-Zero,1990,Nintendo,2.85
511,Yoshi's Story,1997,Nintendo,2.85
520,Metroid Prime,2002,Nintendo,2.82
527,Yoshi's Island DS,2006,Nintendo,2.8
536,Professor Layton and the Last Specter,2009,Nintendo,2.79
537,Monster Hunter Tri,2011,Nintendo,2.79
546,Mario Paint,1992,Nintendo,2.75
548,Pokémon Stadium 2,2000,Nintendo,2.73
549,Metroid,1986,Nintendo,2.73
552,The Legend of Zelda: A Link to the Past,2002,Nintendo,2.7
555,Mario Party,1998,Nintendo,2.7
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,Nintendo,2.69
569,Fable,2004,Microsoft Game Studios,2.66
574,Super Mario Bros.: The Lost Levels,1986,Nintendo,2.65
575,Star Wars: Shadows of the Empire,1996,Nintendo,2.65
579,Halo Wars,2009,Microsoft Game Studios,2.63
582,Mario Strikers Charged,2007,Nintendo,2.62
586,Style Savvy,2008,Nintendo,2.61
588,Super Mario All-Stars: Limited Edition,2010,Nintendo,2.6
599,Art Academy,2010,Nintendo,2.57
605,Pokémon Colosseum,2003,Nintendo,2.54
610,Perfect Dark,2000,Nintendo,2.52
616,Mario Party 2,1999,Nintendo,2.5
627,Mario Party 4,2002,Nintendo,2.47
633,Halo: Combat Evolved Anniversary,2011,Microsoft Game Studios,2.44
639,Ice Hockey,1988,Nintendo,2.42
644,Minecraft,2014,Microsoft Game Studios,2.41
648,Pro Wrestling,1987,Nintendo,2.4
660,Kinect: Disneyland Adventures,2011,Microsoft Game Studios,2.38
671,Kinect Sports: Season Two,2011,Microsoft Game Studios,2.36
672,Kirby's Dream Land 2,1995,Nintendo,2.36
674,Donkey Kong Land II,1996,Nintendo,2.35
682,The Legend of Zelda: Majora's Mask 3D,2015,Nintendo,2.32
685,Mario Tennis,2000,Nintendo,2.32
688,WarioWare Touched!,2004,Nintendo,2.31
694,Pokemon Ranger: Shadows of Almia,2008,Nintendo,2.3
702,Mario Bros.,1983,Nintendo,2.28
707,Paper Mario: Sticker Star,2012,Nintendo,2.27
710,Kirby: Nightmare in Dream Land,2002,Nintendo,2.27
711,Wario Land 4,2001,Nintendo,2.26
718,Paper Mario: The Thousand-Year Door,2004,Nintendo,2.25
720,Monster Hunter Tri,2009,Nintendo,2.25
727,New Super Luigi U,2013,Nintendo,2.22
730,The Legend of Zelda: Link's Awakening DX,1998,Nintendo,2.22
738,Wario Land 3,2000,Nintendo,2.2
745,Kirby's Pinball Land,1992,Nintendo,2.19
746,Donkey Kong Country,2000,Nintendo,2.19
750,Forza Motorsport 5,2013,Microsoft Game Studios,2.18
752,Pokemon Ranger,2006,Nintendo,2.18
753,Mario & Luigi: Superstar Saga,2003,Nintendo,2.17
755,Star Wars: Rogue Squadron,1998,Nintendo,2.17
756,Tennis,1984,Nintendo,2.17
761,Volleyball,1987,Nintendo,2.15
764,Super Mario RPG: Legend of the Seven Stars,1996,Nintendo,2.14
765,Mahjong,1983,Nintendo,2.14
766,R.C. Pro-Am,1988,Nintendo,2.14
770,Tetris DS,2006,Nintendo,2.13
775,Kirby's Epic Yarn,2010,Nintendo,2.12
776,Project Gotham Racing,2001,Microsoft Game Studios,2.12
777,Golf,1989,Nintendo,2.12
783,Mario Sports Mix,2010,Nintendo,2.11
789,Project Gotham Racing (JP weekly sales),2002,Microsoft Game Studios,2.1
805,Mario Party 5,2003,Nintendo,2.08
818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,2005,Nintendo,2.06
822,Mario & Luigi: Dream Team,2013,Nintendo,2.06
826,Pokémon Mystery Dungeon: Blue Rescue Team,2005,Nintendo,2.05
830,PGR4 - Project Gotham Racing 4,2007,Microsoft Game Studios,2.05
832,Dance Central 2,2011,Microsoft Game Studios,2.04
836,Donkey Kong Country,2003,Nintendo,2.04
839,1080°: TenEighty Snowboarding,1998,Nintendo,2.03
845,Forza Horizon,2012,Microsoft Game Studios,2.02
849,Fire Emblem: Awakening,2012,Nintendo,2
851,Super Street Fighter II,1993,Nintendo,2
854,Tennis,1989,Nintendo,1.99
857,SimCity,1991,Nintendo,1.98
869,Rad Racer,1986,Nintendo,1.96
870,Soccer,1985,Nintendo,1.96
871,Kirby Squeak Squad,2006,Nintendo,1.96
882,Alleyway,1989,Nintendo,1.94
891,Tetris DX,1998,Nintendo,1.93
894,Mario Super Sluggers,2008,Nintendo,1.93
896,The Legend of Zelda: Oracle of Ages,2001,Nintendo,1.92
904,Mario Party 3,2000,Nintendo,1.91
913,Yokai Watch,2013,Nintendo,1.89
921,Star Fox Adventures,2002,Nintendo,1.87
924,Donkey Kong Country Returns,2013,Nintendo,1.87
925,The Legend of Zelda: Oracle of Seasons,2001,Nintendo,1.86
936,Mario Party: Island Tour,2013,Nintendo,1.85
940,Pinball,1984,Nintendo,1.85
945,"Hey You, Pikachu!",1998,Nintendo,1.83
953,Kirby: Triple Deluxe,2014,Nintendo,1.82
957,Metroid Prime 3: Corruption,2007,Nintendo,1.82
958,Dragon Quest VI: Realms of Revelation,2010,Nintendo,1.81
972,Kinect Star Wars,2012,Microsoft Game Studios,1.78
977,Professor Layton and the Mask of Miracle,2011,Nintendo,1.78
980,The Legend of Zelda: The Wind Waker,2013,Nintendo,1.77
983,Wii Party U,2013,Nintendo,1.77
986,Kirby 64: The Crystal Shards,2000,Nintendo,1.77
987,Dead or Alive 3,2001,Microsoft Game Studios,1.77
989,Metroid II: Return of Samus,1991,Nintendo,1.76
992,Golden Sun,2001,Nintendo,1.76
994,Kid Icarus,1986,Nintendo,1.76
1009,Crackdown,2007,Microsoft Game Studios,1.75
1010,Yoshi,1991,Nintendo,1.75
1012,Kirby's Adventure,1993,Nintendo,1.75
1020,Forza Motorsport 6,2015,Microsoft Game Studios,1.74
1022,Cruis'n USA,1996,Nintendo,1.74
1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,2006,Nintendo,1.71
1054,Personal Trainer: Math,2007,Nintendo,1.7
1055,Kirby's Return to Dreamland,2011,Nintendo,1.7
1078,Yoshi's Cookie,1992,Nintendo,1.68
1083,Metroid Fusion,2002,Nintendo,1.68
1095,PGR: Project Gotham Racing 2,2003,Microsoft Game Studios,1.67
1109,Mario Party 6,2004,Nintendo,1.65
1110,Super Scope 6,1991,Nintendo,1.65
1115,Kirby & the Amazing Mirror,2004,Nintendo,1.64
1123,Kinectimals,2010,Microsoft Game Studios,1.64
1126,Viva Pinata,2006,Microsoft Game Studios,1.63
1127,Pikmin,2001,Nintendo,1.63
1138,Mario Hoops 3 on 3,2006,Nintendo,1.62
1139,Kirby Air Ride,2003,Nintendo,1.62
1141,Pokemon Battle Revolution,2006,Nintendo,1.61
1143,Gears of War: Judgment,2013,Microsoft Game Studios,1.61
1144,Baseball,1989,Nintendo,1.61
1146,Super Mario Strikers,2005,Nintendo,1.61
1162,The Legend of Zelda: Twilight Princess,2006,Nintendo,1.59
1180,Pokemon Mystery Dungeon: Explorers of Sky,2009,Nintendo,1.58
1185,Mario Party 7,2005,Nintendo,1.57
1189,Donkey Kong Classics,1988,Nintendo,1.56
1194,Pokemon Pinball: Ruby & Sapphire,2003,Nintendo,1.56
1209,Mario Party 10,2015,Nintendo,1.55
1210,Dead Rising 3,2013,Microsoft Game Studios,1.54
1212,Fire Emblem Fates,2015,Nintendo,1.54
1227,Mario Golf: Toadstool Tour,2003,Nintendo,1.53
1229,Donkey Kong Country: Tropical Freeze,2014,Nintendo,1.52
1235,F1 Race,1984,Nintendo,1.52
1262,Ice Climber,1985,Nintendo,1.5
1269,Final Fantasy: Crystal Chronicles,2003,Nintendo,1.49
1273,Banjo-Tooie,2000,Nintendo,1.49
1277,New Play Control! Mario Power Tennis,2009,Nintendo,1.48
1280,Nintendo World Cup,1990,Nintendo,1.48
1282,Wario Land II,1997,Nintendo,1.48
1290,Mario Golf,1999,Nintendo,1.47
1310,Mario Superstar Baseball,2005,Nintendo,1.46
1316,LEGO City Undercover,2013,Nintendo,1.46
1326,4 Nin uchi Mahjong,1984,Nintendo,1.45
1338,Kirby Super Star,1996,Nintendo,1.44
1341,Kinect Joy Ride,2010,Microsoft Game Studios,1.44
1353,Classic NES Series: Super Mario Bros.,2004,Nintendo,1.43
1359,The Legend of Zelda: The Minish Cap,2004,Nintendo,1.42
1362,Super Metroid,1994,Nintendo,1.42
1366,Inazuma Eleven 2,2009,Nintendo,1.42
1376,Metroid: Other M,2010,Nintendo,1.41
1403,Paper Mario,2000,Nintendo,1.38
1404,Bravely Default: Flying Fairy,2012,Nintendo,1.38
1418,Forza Horizon 2,2014,Microsoft Game Studios,1.37
1423,Pocket Monsters Stadium,1998,Nintendo,1.37
1432,Yoshi's New Island,2014,Nintendo,1.36
1433,Ryse: Son of Rome,2013,Microsoft Game Studios,1.36
1444,Alan Wake,2010,Microsoft Game Studios,1.35
1458,Mario & Luigi: Partners in Time,2005,Nintendo,1.34
1462,Donkey Kong Jungle Beat,2004,Nintendo,1.34
1478,Metroid Prime 2: Echoes,2004,Nintendo,1.33
1483,Pokemon Ranger: Guardian Signs,2010,Nintendo,1.33
1492,Gyromite,1985,Nintendo,1.32
1528,Yoshi's Woolly World,2015,Nintendo,1.29
1537,Mystery Case Files: MillionHeir,2008,Nintendo,1.29
1544,Yakuman,1989,Nintendo,1.28
1550,Kid Icarus: Uprising,2012,Nintendo,1.28
1557,Pokemon Mystery Dungeon: Gates to Infinity,2012,Nintendo,1.27
1562,Hogan's Alley,1984,Nintendo,1.27
1576,Hyrule Warriors,2014,Nintendo,1.26
1593,Pokemon XD: Gale of Darkness,2005,Nintendo,1.25
1603,Diddy Kong Racing DS,2007,Nintendo,1.24
1610,Tetris 2 (All region sales),1992,Nintendo,1.24
1615,Ninja Gaiden,2004,Microsoft Game Studios,1.23
1622,Kirby Tilt 'n' Tumble,2000,Nintendo,1.23
1626,Donkey Kong Country 2,2004,Nintendo,1.23
1628,"WarioWare, Inc.: Mega MicroGame$",2003,Nintendo,1.23
1636,Mario Power Tennis,2004,Nintendo,1.22
1638,Game & Watch Gallery 2,1997,Nintendo,1.22
1639,Game & Watch Gallery 3,1999,Nintendo,1.22
1646,Golden Sun: The Lost Age,2002,Nintendo,1.22
1654,Fuzion Frenzy,2001,Microsoft Game Studios,1.21
1671,Pikmin 2,2004,Nintendo,1.2
1680,SolarStriker,1989,Nintendo,1.2
1683,Mario vs. Donkey Kong 2: March of the Minis,2006,Nintendo,1.2
1684,PokéPark Wii: Pikachu's Adventure,2009,Nintendo,1.2
1689,Captain Toad: Treasure Tracker,2014,Nintendo,1.19
1696,Kobe Bryant in NBA Courtside,1998,Nintendo,1.19
1702,Final Fantasy I & II: Dawn of Souls,2004,Nintendo,1.19
1704,Pokemon Super Mystery Dungeon,2015,Nintendo,1.19
1712,Mario Tennis,2000,Nintendo,1.18
1725,Wario Land: Shake It!,2008,Nintendo,1.17
1740,Mario vs. Donkey Kong,2004,Nintendo,1.17
1752,Jet Force Gemini,1999,Nintendo,1.16
1772,Qix,1990,Nintendo,1.15
1777,Donkey Konga,2003,Nintendo,1.15
1783,Pokemon Rumble Blast,2011,Nintendo,1.14
1794,Pilotwings,1990,Nintendo,1.14
1796,Super R.C. Pro-Am,1991,Nintendo,1.14
1803,MechAssault,2002,Microsoft Game Studios,1.13
1808,Fantasy Life,2012,Nintendo,1.13
1811,Donkey Kong,1983,Nintendo,1.13
1816,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),2005,Nintendo,1.13
1821,Pilotwings 64,1996,Nintendo,1.12
1822,Crackdown 2,2010,Microsoft Game Studios,1.12
1829,Yoshi's Cookie,1992,Nintendo,1.12
1833,Counter-Strike,2003,Microsoft Game Studios,1.11
1838,Sunset Overdrive,2014,Microsoft Game Studios,1.11
1841,Donkey Kong Jr.,1983,Nintendo,1.11
1845,Pikmin 3,2013,Nintendo,1.11
1852,The Legend of Zelda: Tri Force Heroes,2015,Nintendo,1.1
1862,F-Zero X,1998,Nintendo,1.1
1863,Popeye,1983,Nintendo,1.1
1868,Tales of Symphonia,2003,Nintendo,1.1
1892,Endless Ocean,2007,Nintendo,1.09
1911,LEGO City Undercover,2013,Nintendo,1.08
1916,Star Fox: Assault,2005,Nintendo,1.08
1929,Super Princess Peach,2005,Nintendo,1.07
1984,Forza Motorsport,2005,Microsoft Game Studios,1.05
1988,Pokemon Conquest,2012,Nintendo,1.05
1999,Naruto: Clash of Ninja 2,2003,Nintendo,1.04
2002,F-Zero: Maximum Velocity,2001,Nintendo,1.04
2008,Kirby: Mass Attack,2011,Nintendo,1.04
2043,Bayonetta 2,2014,Nintendo,1.01
2062,Excitebike 64,2000,Nintendo,1
2063,NES Open Tournament Golf,1991,Nintendo,1
2064,Game & Watch Gallery,1997,Nintendo,1
2085,NFL Fever 2002,2000,Microsoft Game Studios,0.99
2109,Xenoblade Chronicles,2010,Nintendo,0.98
2111,Mario Party Advance,2005,Nintendo,0.98
2113,Tetris 2,1993,Nintendo,0.98
2135,Fire Emblem,2003,Nintendo,0.97
2171,PilotWings Resort,2011,Nintendo,0.96
2195,Wii Play: Motion,2011,Nintendo,0.95
2199,Star Fox 64 3D,2011,Nintendo,0.94
2206,Mario Tennis Open,2012,Nintendo,0.94
2214,The Legend of Zelda: Twilight Princess HD,2016,Nintendo,0.94
2248,Blue Dragon,2006,Microsoft Game Studios,0.92
2261,Balloon Fight,1985,Nintendo,0.92
2263,Disney Magical World,2013,Nintendo,0.92
2272,Lost Odyssey,2007,Microsoft Game Studios,0.92
2320,Fossil Fighters,2008,Nintendo,0.9
2335,Classic NES Series: The Legend of Zelda,2004,Nintendo,0.89
2337,Fire Emblem: The Sacred Stones,2004,Nintendo,0.89
2338,Pokemon Card GB2: Here Comes Team GR!,2001,Nintendo,0.89
2350,Wii Fit U,2013,Nintendo,0.89
2367,Endless Ocean: Blue World,2009,Nintendo,0.88
2376,Crimson Skies: High Road to Revenge,2003,Microsoft Game Studios,0.87
2425,The Legendary Starfy,2008,Nintendo,0.86
2429,Forza Horizon 2,2014,Microsoft Game Studios,0.85
2450,Kirby: Planet Robobot,2016,Nintendo,0.85
2456,Golden Sun: Dark Dawn,2010,Nintendo,0.84
2461,Xenoblade Chronicles X,2015,Nintendo,0.84
2476,Metroid: Zero Mission,2004,Nintendo,0.84
2490,Brute Force,2003,Microsoft Game Studios,0.83
2491,Dance Central 3,2012,Microsoft Game Studios,0.83
2515,Clu Clu Land,1984,Nintendo,0.82
2516,Killer Instinct Gold,1996,Nintendo,0.82
2517,Amped: Freestyle Snowboarding,2001,Microsoft Game Studios,0.82
2542,The Legend of Zelda: Four Swords Adventures,2004,Nintendo,0.81
2552,EarthBound,1994,Nintendo,0.81
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,2013,Nintendo,0.8
2594,Capcom's Soccer Shootout,1993,Nintendo,0.8
2620,Major League Baseball Featuring Ken Griffey Jr,1998,Nintendo,0.79
2622,Too Human,2008,Microsoft Game Studios,0.79
2626,Personal Trainer: Walking,2008,Nintendo,0.79
2628,PokePark 2: Wonders Beyond,2011,Nintendo,0.79
2629,Professor Layton and the Azran Legacy,2013,Nintendo,0.78
2632,Lips,2008,Microsoft Game Studios,0.78
2634,Metroid Prime Hunters,2006,Nintendo,0.78
2644,Tetris Party Deluxe,2010,Nintendo,0.78
2656,Banjo-Kazooie: Nuts & Bolts,2008,Microsoft Game Studios,0.78
2661,Perfect Dark Zero,2005,Microsoft Game Studios,0.77
2683,Pokemon Dash,2004,Nintendo,0.77
2684,Donkey Kong Country 3,2005,Nintendo,0.77
2731,Rare Replay,2015,Microsoft Game Studios,0.75
2765,Jump Ultimate Stars,2006,Nintendo,0.74
2773,Mario & Luigi: Paper Jam,2015,Nintendo,0.74
2792,Sword of Mana,2003,Nintendo,0.74
2798,Classic NES Series: Donkey Kong,2004,Nintendo,0.73
2800,Yoshi,1991,Nintendo,0.73
2804,Kirby: Canvas Curse,2005,Nintendo,0.73
2806,Practise English!,2007,Nintendo,0.73
2814,Just Dance Wii,2011,Nintendo,0.73
2824,Style Savvy: Trendsetters,2012,Nintendo,0.72
2852,Monster Hunter Tri,2012,Nintendo,0.72
2874,Conker: Live And Reloaded,2005,Microsoft Game Studios,0.71
2884,Rhythm Heaven: The Best+,2015,Nintendo,0.71
2887,Blast Corps,1997,Nintendo,0.71
2890,"WarioWare, Inc.: Mega Party Game$",2003,Nintendo,0.71
2919,Jade Empire,2005,Microsoft Game Studios,0.7
2925,Advance Wars,2001,Nintendo,0.7
2939,Classic NES Series: Zelda II: The Adventure of Link,2004,Nintendo,0.7
2940,Fire Emblem: Monsh? no Nazo,1994,Nintendo,0.7
2951,Halo 2 Multiplayer Map Pack,2005,Microsoft Game Studios,0.69
2956,Mario Pinball Land,2004,Nintendo,0.69
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,2015,Nintendo,0.69
2975,Kirby's Dream Collection: Special Edition,2012,Nintendo,0.68
2978,The Last Story,2011,Nintendo,0.68
2990,Fossil Fighters: Champions,2010,Nintendo,0.68
3008,100 Classic Books,2008,Nintendo,0.67
3077,Wario: Master of Disguise,2007,Nintendo,0.66
3083,New Play Control! Pikmin,2008,Nintendo,0.66
3094,Scene It? Box Office Smash,2008,Microsoft Game Studios,0.66
3103,F-Zero GX,2003,Nintendo,0.65
3106,Yoshi Topsy-Turvy,2004,Nintendo,0.65
3115,Advance Wars 2: Black Hole Rising,2003,Nintendo,0.65
3116,Fire Emblem: Shadow Dragon,2008,Nintendo,0.65
3176,Cruis'n World,1998,Nintendo,0.64
3180,Donkey Kong Barrel Blast,2007,Nintendo,0.64
3216,Metroid Prime: Trilogy,2009,Nintendo,0.63
3273,Mario's Picross,1995,Nintendo,0.62
3290,NFL Fever 2003,2002,Microsoft Game Studios,0.61
3304,Ganbaru Watashi no Kakei Diary,2007,Nintendo,0.61
3306,New Play Control! Donkey Kong Jungle Beat,2008,Nintendo,0.61
3319,Final Fantasy IV Advance,2005,Nintendo,0.61
3330,Game & Watch Gallery 4,2002,Nintendo,0.61
3335,New Play Control! Pikmin 2,2009,Nintendo,0.6
3340,Wave Race: Blue Storm,2001,Nintendo,0.6
3349,WarioWare D.I.Y.,2009,Nintendo,0.6
3362,Mickey's Speedway USA,2000,Nintendo,0.6
3369,PGR3 - Project Gotham Racing 3,2005,Microsoft Game Studios,0.6
3376,Kinect Rush: A Disney Pixar Adventure,2012,Microsoft Game Studios,0.6
3383,Pokemon Trozei!,2005,Nintendo,0.6
3417,Dead or Alive Xtreme Beach Volleyball,2003,Microsoft Game Studios,0.59
